,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,PrecipTotal,StnPressure,SeaLevel,AvgSpeed,Sunrise(hrs),Sunset(hrs),WindDirection,WindSpeed,StationLat,StationLong,StationElev_ft
0,1,2007-05-01,83,50,67,14.0,51,56,0,2, ,0.0,29.1,29.82,9.2,4.8,18.816666666666666,270,1.7,41.995,-87.933,662
1,2,2007-05-01,84,52,68,15.0,51,57,0,3, ,0.0,29.18,29.82,9.6,4.8,18.816666666666666,250,2.7,41.786,-87.752,612
2,1,2007-05-02,59,42,51,-3.0,42,47,14,0,BR,0.0,29.38,30.09,13.4,4.783333333333333,18.833333333333332,40,13.0,41.995,-87.933,662
3,2,2007-05-02,60,43,52,-2.0,42,47,13,0,BR HZ,0.0,29.44,30.08,13.4,4.783333333333333,18.833333333333332,20,13.3,41.786,-87.752,612
4,1,2007-05-03,66,46,56,2.0,40,48,9,0, ,0.0,29.39,30.12,11.9,4.766666666666667,18.85,70,11.7,41.995,-87.933,662
5,2,2007-05-03,67,48,58,4.0,40,50,7,0,HZ,0.0,29.46,30.12,13.2,4.766666666666667,18.85,60,12.9,41.786,-87.752,612
6,1,2007-05-04,66,49,58,4.0,41,50,7,0,RA,0.01,29.31,30.05,10.8,4.733333333333333,18.866666666666667,80,10.4,41.995,-87.933,662
7,2,2007-05-04,78,51,58,4.0,42,50,7,0, ,0.0,29.36,30.04,10.4,4.733333333333333,18.866666666666667,70,10.1,41.786,-87.752,612
8,1,2007-05-05,66,53,60,5.0,38,49,5,0, ,0.01,29.4,30.1,12.0,4.716666666666667,18.883333333333333,70,11.7,41.995,-87.933,662
9,2,2007-05-05,66,54,60,5.0,39,50,5,0, ,0.01,29.46,30.09,11.5,4.716666666666667,18.883333333333333,70,11.2,41.786,-87.752,612
10,1,2007-05-06,68,49,59,4.0,30,46,6,0, ,0.0,29.57,30.29,15.0,4.7,18.916666666666668,110,14.4,41.995,-87.933,662
11,2,2007-05-06,68,52,60,5.0,30,46,5,0, ,0.0,29.62,30.28,14.5,4.7,18.916666666666668,100,13.8,41.786,-87.752,612
12,1,2007-05-07,83,47,65,10.0,41,54,0,0,RA,0.01,29.38,30.12,10.5,4.683333333333334,18.933333333333334,180,8.6,41.995,-87.933,662
13,2,2007-05-07,84,50,67,12.0,39,53,0,2, ,0.0,29.44,30.12,9.9,4.683333333333334,18.933333333333334,170,8.5,41.786,-87.752,612
14,1,2007-05-08,82,54,68,12.0,58,62,0,3,BR,0.0,29.29,30.03,5.8,4.65,18.95,110,2.7,41.995,-87.933,662
15,2,2007-05-08,80,60,70,14.0,57,63,0,5,HZ,0.01,29.36,30.02,5.4,4.65,18.95,80,2.5,41.786,-87.752,612
16,1,2007-05-09,77,61,69,13.0,59,63,0,4,BR HZ,0.13,29.21,29.94,6.2,4.633333333333333,18.966666666666665,90,3.9,41.995,-87.933,662
17,2,2007-05-09,76,63,70,14.0,60,63,0,5,BR HZ,0.02,29.28,29.93,5.9,4.633333333333333,18.966666666666665,70,3.9,41.786,-87.752,612
18,1,2007-05-10,84,56,70,14.0,52,60,0,5,BR,0.0,29.2,29.92,4.1,4.616666666666667,18.983333333333334,170,0.7,41.995,-87.933,662
19,2,2007-05-10,83,59,71,15.0,52,61,0,6,BR HZ,0.0,29.26,29.91,3.9,4.616666666666667,18.983333333333334,90,2.0,41.786,-87.752,612
20,1,2007-05-11,70,51,61,4.0,42,51,4,0, ,0.0,29.33,30.04,12.9,4.6,19.0,30,11.3,41.995,-87.933,662
21,2,2007-05-11,73,49,61,4.0,44,51,4,0, ,0.0,29.39,30.03,12.8,4.6,19.0,360,11.7,41.786,-87.752,612
22,1,2007-05-12,64,46,55,-2.0,36,46,10,0, ,0.0,29.49,30.2,12.9,4.583333333333333,19.016666666666666,30,12.4,41.995,-87.933,662
23,2,2007-05-12,65,47,56,-1.0,37,46,9,0, ,0.0,29.54,30.19,13.0,4.583333333333333,19.016666666666666,10,12.7,41.786,-87.752,612
24,1,2007-05-13,69,43,56,-2.0,33,46,9,0, ,0.0,29.49,30.24,8.1,4.566666666666666,19.033333333333335,140,6.6,41.995,-87.933,662
25,2,2007-05-13,69,44,57,-1.0,32,46,8,0, ,0.0,29.55,30.24,7.6,4.566666666666666,19.033333333333335,110,6.4,41.786,-87.752,612
